Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-05-04,71.14379119873047,115.79949951171875,65.83026885986328,171.18182373046875,50.74599838256836
2020-05-05,72.21156311035156,115.88999938964844,67.13005065917969,173.01963806152344,51.2140007019043
2020-05-06,72.95661926269531,117.56300354003906,66.95140838623047,174.72340393066406,52.172000885009766
2020-05-07,73.71133422851562,118.38050079345703,68.13823699951172,175.73800659179688,52.00266647338867
2020-05-08,75.46578979492188,118.98049926757812,68.88765716552734,176.77171325683594,54.62799835205078
2020-05-11,76.65325927734375,120.44999694824219,69.84556579589844,178.7435760498047,54.08599853515625
2020-05-12,75.77725219726562,117.84750366210938,68.43183135986328,174.6947021484375,53.96066665649414
2020-05-13,74.8623046875,118.39600372314453,67.09571075439453,172.05291748046875,52.73066711425781
2020-05-14,75.32219696044922,119.44249725341797,67.52018737792969,172.79949951171875,53.55533218383789
2020-05-15,74.87690734863281,120.48899841308594,68.32633209228516,175.31686401367188,53.27799987792969
2020-05-18,76.64108276367188,121.31300354003906,68.92945861816406,176.99192810058594,54.242000579833984
2020-05-19,76.1982421875,122.46649932861328,68.39301300048828,175.7667236328125,53.867332458496094
2020-05-20,77.68013763427734,124.89700317382812,70.12274932861328,178.2047119140625,54.37066650390625
2020-05-21,77.10099792480469,122.33699798583984,70.00282287597656,176.06423950195312,55.17333221435547
2020-05-22,77.59740447998047,121.84400177001953,70.32577514648438,176.14105224609375,54.45866775512695
2020-05-26,77.07180786132812,121.09300231933594,70.73033905029297,174.27896118164062,54.591331481933594
2020-05-27,77.40760040283203,120.51950073242188,70.67610168457031,174.50933837890625,54.68199920654297
2020-05-28,77.44165802001953,120.05500030517578,70.5745849609375,174.11581420898438,53.72066879272461
2020-05-29,77.36622619628906,122.11849975585938,71.33495330810547,175.8915252685547,55.66666793823242
2020-06-01,78.31767272949219,123.552001953125,71.40213012695312,175.4884033203125,59.87333297729492
2020-06-02,78.68023681640625,123.62049865722656,71.7723617553711,177.48486328125,58.770668029785156
2020-06-03,79.1133804321289,123.91999816894531,71.6200942993164,177.91677856445312,58.86399841308594
2020-06-04,78.43204498291016,123.02999877929688,70.37852478027344,175.57473754882812,57.62533187866211
2020-06-05,80.66586303710938,124.1500015258789,71.65840148925781,179.68287658691406,59.04399871826172
2020-06-08,81.1427993774414,126.2030029296875,72.05750274658203,180.79632568359375,63.327999114990234
2020-06-09,83.70512390136719,130.04299926757812,72.25852966308594,182.17849731445312,62.711334228515625
2020-06-10,85.85865783691406,132.37249755859375,72.88652801513672,188.93577575683594,68.336669921875
2020-06-11,81.7365493774414,127.89800262451172,69.761474609375,178.7902374267578,64.85600280761719
2020-06-12,82.44221496582031,127.2509994506836,70.30985260009766,180.2012176513672,62.35200119018555
2020-06-15,83.46180725097656,128.63400268554688,70.69898986816406,181.35302734375,66.05999755859375
2020-06-16,85.67372131347656,130.7635040283203,71.9793701171875,185.79713439941406,65.47533416748047
2020-06-17,85.55448150634766,132.0489959716797,72.28141784667969,186.440185546875,66.11933135986328
2020-06-18,85.58856964111328,132.69900512695312,71.36480712890625,188.4367218017578,66.9306640625
2020-06-19,85.09945678710938,133.75050354003906,70.89306640625,187.31369018554688,66.72666931152344
2020-06-22,87.32597351074219,135.6909942626953,72.18787384033203,192.5160675048828,66.28800201416016
2020-06-23,89.1899185180664,138.2205047607422,72.85070037841797,193.80223083496094,66.78533172607422
2020-06-24,87.61555480957031,136.72000122070312,71.29415130615234,189.89564514160156,64.0566635131836
2020-06-25,88.77869415283203,137.72900390625,71.71215057373047,192.29527282714844,65.73200225830078
2020-06-26,86.05089569091797,134.64349365234375,67.8028335571289,188.4462890625,63.982666015625
2020-06-29,88.03407287597656,134.0189971923828,69.5261001586914,190.4715118408203,67.29000091552734
2020-06-30,88.76893615722656,137.9409942626953,70.56513214111328,195.33798217773438,71.98733520507812
2020-07-01,88.6010513305664,143.93499755859375,71.75692749023438,196.4801483154297,74.64199829101562
2020-07-02,88.6010513305664,144.51499938964844,73.14678955078125,197.97750854492188,80.57733154296875
2020-07-06,90.97113037109375,152.8520050048828,74.62571716308594,202.23922729492188,91.43866729736328
2020-07-07,90.6888656616211,150.00599670410156,74.14153289794922,199.8876495361328,92.65733337402344
2020-07-08,92.80103302001953,154.0554962158203,74.82228088378906,204.2837371826172,91.05867004394531
2020-07-09,93.20010375976562,159.13150024414062,75.57169342041016,205.7138671875,92.9520034790039
2020-07-10,93.3631362915039,160.0,76.5843505859375,205.08999633789062,102.97666931152344
2020-07-13,92.93243408203125,155.1999969482422,75.2517318725586,198.75502014160156,99.80400085449219
2020-07-14,94.47032165527344,154.1999969482422,75.6811752319336,199.98361206054688,101.12000274658203
2020-07-15,95.1200180053711,150.44349670410156,75.48311614990234,199.68605041503906,103.06732940673828
2020-07-16,93.9495849609375,149.9949951171875,75.38558959960938,195.73153686523438,100.04266357421875
2020-07-17,93.7597885131836,148.09849548339844,75.48162841796875,194.7332763671875,100.05599975585938
2020-07-20,95.73564910888672,159.8419952392578,77.81995391845703,203.1031036376953,109.53333282470703
2020-07-21,94.41433715820312,156.9145050048828,77.42583465576172,200.3675537109375,104.55733489990234
2020-07-22,94.67957305908203,154.99549865722656,77.87020111083984,203.24710083007812,106.15533447265625
2020-07-23,90.37012481689453,149.32749938964844,75.47664642333984,194.4069061279297,100.87133026123047
2020-07-24,90.14624786376953,150.44549560546875,75.05168914794922,193.2167205810547,94.46666717529297
2020-07-27,92.28272247314453,152.760498046875,76.10762786865234,195.664306640625,102.63999938964844
